546,2012,1948,1644
2610,1961,2048,1484
1002,1998,1388,1624
-1,-1,2444,1304
1294,1555,1640,804
1336,2002,1792,904
284,292,820,1020
1029,3021,1280,820
2407,1618,1620,760
4111,348,2212,692
2665,2124,2196,1120
2022,2428,1288,864
1315,2494,1888,1388
2000,1500,2312,1492
3339,1590,3012,1624
2499,1824,2036,1164
260,3628,816,1660
1572,1506,2048,940
1222,2181,2084,1488
1921,2309,2176,2028
2000,1500,2168,1152
2000,1500,2192,1436
2000,1500,2220,1676
-1,-1,2276,1968
3121,2205,2624,556
2945,1347,2636,840
3136,1460,2628,1152
3127,790,2660,1392
716,1657,1268,588
636,2362,1344,868
811,2440,1436,1148
990,2394,1424,1384
1128,2280,1436,1656
1322,2077,1300,788
1456,2106,1676,1096
1631,2170,1664,1360
1707,2064,1704,1648
793,2190,1728,1896
1519,1756,1880,1088
1441,1378,1928,1348
1200,1252,1892,1632
1016,790,1928,1820
2355,2325,2588,1456
2000,1500,2584,1752
2000,1500,2624,2000
169,1980,1184,352
123,2435,1276,660
122,1676,1304,992
350,2335,1348,1244
3516,1766,2676,680
3565,1447,2692,908
3530,836,2652,1204
3729,763,2660,1524
3325,2074,2236,740
3370,1309,2396,1204
3261,965,2460,1488
