3079,345,2932,546
3934,2384,3917,2324
3580,2525,3352,2241
524,2062,699,2305
3372,123,3275,246
3744,2046,3798,2211
1206,1161,1390,1635
1287,1355,1137,1197
3231,1870,3243,1905
1677,136,2097,-237
3942,146,3744,358
2116,107,2047,303
2747,1938,3261,1658
3722,1471,3516,1211
1714,1365,1618,1228
2969,908,2788,1397
177,617,-183,993
2731,1018,2663,1110
1288,2437,1163,2048
461,1451,317,1199
297,883,227,674
2520,1048,2503,1030
395,2320,576,2523
893,1979,635,2388
2146,1362,2204,1565
3260,1220,3381,1661
3003,681,3183,513
2404,1540,2126,1035
2153,2167,2327,2359
1095,484,1085,508
3557,14,3237,-390
2184,2460,2458,2867
758,266,970,611
2044,1984,2010,2079
3864,368,3803,504
3184,2376,2928,2792
2966,1156,2975,1177
1385,2702,1173,2481
2586,1172,2854,1078
3647,472,3840,884
2221,1821,2291,1952
3675,1830,3505,1646
1117,1446,1349,1251
3317,209,3693,24
631,2261,564,2386
3230,2116,3189,2160
3998,1320,4305,1077
483,892,621,764
85,2739,401,3193
3719,1572,3963,1392
1372,2407,1535,2314
1107,105,1433,-111
1654,2573,1595,2489
1730,2942,1840,3142
1118,2925,1230,2863
1398,1156,1637,1049
1377,2213,1394,2171
906,2192,1036,2483
2823,880,2476,1233
2731,1962,2582,2219
208,1543,395,1800
1237,1689,1091,2093
824,363,970,763
640,206,518,62
1588,1464,1847,1235
33,2203,212,2446
3477,1103,3930,898
150,1376,471,1147
3193,751,3030,996
2285,168,2100,-40
1829,1949,1782,1871
1514,1351,1545,1442
595,2685,660,2661
1769,1,1955,-89
552,361,718,546
3209,839,3401,1457
996,26,1032,110
1922,2741,1853,2883
3927,1909,4090,1789
1015,2400,800,2881
2487,2293,2754,2194
3666,1510,3613,1408
2122,1643,2250,1780
1629,384,1582,327
2349,1314,2378,1354
2116,1690,2029,1954
2353,172,2292,337
3870,2900,3759,2787
2935,2394,2981,2347
2949,1121,2992,1097
451,442,367,213
908,1179,1214,960
426,650,809,535
1988,1014,2048,1080
3465,355,3427,439
1648,2469,1526,2821
1856,626,1668,355
3578,1002,3500,1148
1900,1442,1749,1619
1876,1527,1916,1502
2647,2490,3125,2335
373,2036,753,1693
695,2425,545,2584
2221,2694,2533,2542
1013,109,1099,78
3241,413,3447,707
3351,2383,3226,2179
1950,933,2310,1314
1696,1089,1735,1202
230,2873,-28,2476
3087,1917,3173,1853
2433,967,2701,1276
616,2788,497,3079
1526,811,1665,1181
2695,1515,3024,1346
2434,953,2771,702
539,1216,500,1132
1622,1751,1269,1247
1812,1047,1720,844
